DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Zone euro - 20 pays (2023-2025),2022,81.6,bp,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Zone euro - 20 pays (2023-2025),2023,82.3,bp,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Estonie,2013,77.5,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Estonie,2014,77.4,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Estonie,2015,78.0,b,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Estonie,2016,78.0,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Estonie,2017,78.4,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Estonie,2018,78.5,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Estonie,2019,79.0,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Estonie,2020,78.9,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Estonie,2021,77.2,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Estonie,2022,78.1,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Estonie,2023,79.1,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Estonie,2024,79.6,ip,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Grèce,2013,81.4,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Grèce,2014,81.5,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Grèce,2015,81.1,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Grèce,2016,81.5,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Grèce,2017,81.4,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Grèce,2018,81.9,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Grèce,2019,81.7,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Grèce,2020,81.4,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Grèce,2021,80.2,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Grèce,2022,80.8,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Grèce,2023,81.8,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Grèce,2024,81.9,ip,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Espagne,2013,83.2,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Espagne,2014,83.3,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Espagne,2015,83.0,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Espagne,2016,83.5,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Espagne,2017,83.4,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Espagne,2018,83.5,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Espagne,2019,84.0,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Espagne,2020,82.3,b,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Espagne,2021,83.3,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Espagne,2022,83.2,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Espagne,2023,84.0,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Espagne,2024,84.0,ip,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Union européenne - 27 pays (à partir de 2020),2013,80.5,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Union européenne - 27 pays (à partir de 2020),2014,80.8,b,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Union européenne - 27 pays (à partir de 2020),2015,80.5,b,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Union européenne - 27 pays (à partir de 2020),2016,80.9,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Union européenne - 27 pays (à partir de 2020),2017,80.9,b,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Union européenne - 27 pays (à partir de 2020),2018,81.0,ep,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Union européenne - 27 pays (à partir de 2020),2019,81.3,bep,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Union européenne - 27 pays (à partir de 2020),2020,80.4,bep,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Union européenne - 27 pays (à partir de 2020),2021,80.1,bep,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Union européenne - 27 pays (à partir de 2020),2022,80.6,bep,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Union européenne - 27 pays (à partir de 2020),2023,81.4,bep,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Union européenne - 27 pays (à partir de 2020),2024,81.7,ip,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Finlande,2013,81.1,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Finlande,2014,81.3,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Finlande,2015,81.6,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Finlande,2016,81.5,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Finlande,2017,81.7,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Finlande,2018,81.8,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Finlande,2019,82.1,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Finlande,2020,82.0,,
